"color"	"code"	"value"
"Black"	"0"	"#1B2A34"
"Blue"	"1"	"#1E5AA8"
"Green"	"2"	"#00852B"
"Dark_Turquoise"	"3"	"#069D9F"
"Red"	"4"	"#B40000"
"Dark_Pink"	"5"	"#D3359D"
"Brown"	"6"	"#543324"
"Light_Grey"	"7"	"#8A928D"
"Dark_Grey"	"8"	"#545955"
"Light_Blue"	"9"	"#97CBD9"
"Bright_Green"	"10"	"#58AB41"
"Light_Turquoise"	"11"	"#00AAA4"
"Salmon"	"12"	"#F06D61"
"Pink"	"13"	"#F6A9BB"
"Yellow"	"14"	"#FAC80A"
"White"	"15"	"#F4F4F4"
"Light_Green"	"17"	"#ADD9A8"
"Light_Yellow"	"18"	"#FFD67F"
"Tan"	"19"	"#D7BA8C"
"Light_Violet"	"20"	"#AFBED6"
"Purple"	"22"	"#671F81"
"Dark_Blue_Violet"	"23"	"#0E3E9A"
"Orange"	"25"	"#D67923"
"Magenta"	"26"	"#901F76"
"Lime"	"27"	"#A5CA18"
"Dark_Tan"	"28"	"#897D62"
"Bright_Pink"	"29"	"#FF9ECD"
"Medium_Lavender"	"30"	"#A06EB9"
"Lavender"	"31"	"#CDA4DE"
"Very_Light_Orange"	"68"	"#FDC383"
"Bright_Reddish_Lilac"	"69"	"#8A12A8"
"Reddish_Brown"	"70"	"#5F3109"
"Light_Bluish_Grey"	"71"	"#969696"
"Dark_Bluish_Grey"	"72"	"#646464"
"Medium_Blue"	"73"	"#7396C8"
"Medium_Green"	"74"	"#7FC475"
"Light_Pink"	"77"	"#FECCCF"
"Light_Nougat"	"78"	"#FFC995"
"Medium_Nougat"	"84"	"#AA7D55"
"Medium_Lilac"	"85"	"#441A91"
"Light_Brown"	"86"	"#7B5D41"
"Blue_Violet"	"89"	"#1C58A7"
"Nougat"	"92"	"#BB805A"
"Light_Salmon"	"100"	"#F9B7A5"
"Violet"	"110"	"#26469A"
"Medium_Violet"	"112"	"#4861AC"
"Medium_Lime"	"115"	"#B7D425"
"Aqua"	"118"	"#9CD6CC"
"Light_Lime"	"120"	"#DEEA92"
"Light_Orange"	"121"	"#F89A39"
"Dark_Salmon"	"123"	"#EE5434"
"Spud_Orange"	"125"	"#F9A777"
"Dark_Nougat"	"128"	"#AD6140"
"Very_Light_Bluish_Grey"	"151"	"#C8C8C8"
"Dark_Yellow"	"180"	"#DD982E"
"Bright_Light_Orange"	"191"	"#FCAC00"
"Bright_Light_Blue"	"212"	"#9DC3F7"
"Medium_Blue_Violet"	"213"	"#476FB6"
"Rust"	"216"	"#872B17"
"Reddish_Lilac"	"218"	"#8E5597"
"Lilac"	"219"	"#564E9D"
"Light_Lilac"	"220"	"#9195CA"
"Warm_Yellowish_Orange"	"225"	"#FAA964"
"Bright_Light_Yellow"	"226"	"#FFEC6C"
"Sky_Blue"	"232"	"#77C9D8"
"Dark_Blue"	"272"	"#19325A"
"Dark_Green"	"288"	"#00451A"
"Flamingo_Pink"	"295"	"#FF94C2"
"Dark_Brown"	"308"	"#352100"
"Maersk_Blue"	"313"	"#ABD9FF"
"Dark_Red"	"320"	"#720012"
"Dark_Azure"	"321"	"#469BC3"
"Medium_Azure"	"322"	"#68C3E2"
"Light_Aqua"	"323"	"#D3F2EA"
"Yellowish_Green"	"326"	"#E2F99A"
"Olive_Green"	"330"	"#77774E"
"Sand_Red"	"335"	"#88605E"
"Medium_Dark_Pink"	"351"	"#F785B1"
"Coral"	"353"	"#FF6D77"
"Earth_Orange"	"366"	"#D86D2C"
"Neon_Yellow"	"368"	"#EDFF21"
"Medium_Brown"	"370"	"#755945"
"Medium_Tan"	"371"	"#CCA373"
"Sand_Purple"	"373"	"#75657D"
"Sand_Green"	"378"	"#708E7C"
"Sand_Blue"	"379"	"#70819A"
"Reddish_Orange"	"402"	"#CA4C0B"
"Sienna_Brown"	"422"	"#915C3C"
"Umber_Brown"	"423"	"#543F33"
"Ochre_Yellow"	"424"	"#DD9E47"
"Fabuland_Brown"	"450"	"#D27744"
"Medium_Orange"	"462"	"#F58624"
"Dark_Orange"	"484"	"#91501C"
"Very_Light_Grey"	"503"	"#BCB4A5"
"Light_Orange_Brown"	"507"	"#FA9C1C"
"Fabuland_Red"	"508"	"#C65127"
"Fabuland_Orange"	"509"	"#CF8A47"
"Fabuland_Lime"	"510"	"#78FC78"
"Lemon"	"10015"	"#FFF230"
"Rose_Pink"	"10017"	"#FF9494"
"Yellowish_Dark_Pink"	"10022"	"#D05098"
"Trans_Dark_Blue"	"33"	"#0020A0"
"Trans_Green"	"34"	"#237841"
"Trans_Bright_Green"	"35"	"#56E646"
"Trans_Red"	"36"	"#C91A09"
"Trans_Dark_Pink"	"37"	"#DF6695"
"Trans_Neon_Orange"	"38"	"#FF800D"
"Trans_Very_Light_Blue"	"39"	"#C1DFF0"
"Trans_Brown"	"40"	"#635F52"
"Trans_Medium_Blue"	"41"	"#559AB7"
"Trans_Neon_Green"	"42"	"#C0FF00"
"Trans_Light_Blue"	"43"	"#AEE9EF"
"Trans_Bright_Reddish_Lilac"	"44"	"#96709F"
"Trans_Pink"	"45"	"#FC97AC"
"Trans_Yellow"	"46"	"#F5CD2F"
"Trans_Clear"	"47"	"#FCFCFC"
"Trans_Purple"	"52"	"#A5A5CB"
"Trans_Neon_Yellow"	"54"	"#DAB000"
"Trans_Orange"	"57"	"#F08F1C"
"Trans_Black_IR_Lens"	"32"	"#000000"
"Trans_Neon_Red"	"158"	"#F18EBB"
"Trans_Bright_Light_Green"	"227"	"#B5D96C"
"Trans_Bright_Light_Orange"	"231"	"#FCB76D"
"Trans_Fire_Yellow"	"234"	"#FBE890"
"Trans_Reddish_Lilac"	"284"	"#C281A5"
"Trans_Light_Green"	"285"	"#7DC291"
