alias	categories
1/42044-1.1.mpd	technic
1/42044-1.2.mpd	technic
1/42044-1.mpd	technic
1000/75060-1.1.mpd	Minifig Headwear
1000/75060-1.2.mpd	Minifig Headwear
1000/75060-1.mpd	Minifig Headwear
1001/10264-1.1.mpd	Figure Accessory, minifig
1001/10264-1.2.mpd	Figure Accessory, minifig
1001/10264-1.mpd	Figure Accessory, minifig
1002/10246-1.1.mpd	Minifig Accessory, Minifig Footwear, Sheet Plastic
1002/10246-1.2.mpd	Minifig Accessory, Minifig Footwear, Sheet Plastic
1002/10246-1.mpd	Minifig Accessory, Minifig Footwear, Sheet Plastic
1003/42099-1.1.mpd	electric, Technic
1003/42099-1.2.mpd	electric, Technic
1003/42099-1.mpd	electric, Technic
1005/6980-1.1.mpd	technic
1005/6980-1.2.mpd	technic
1005/6980-1.mpd	technic
1018/31313-1_Spike3r.1.mpd	electric
1018/31313-1_Spike3r.2.mpd	electric
1018/31313-1_Spike3r.mpd	electric
1018/31313-1_Track3r.1.mpd	electric
1018/31313-1_Track3r.2.mpd	electric
1018/31313-1_Track3r.mpd	electric
1019/8845-1.1.mpd	Technic
1019/8845-1.2.mpd	Technic
1019/8845-1.mpd	Technic
1020/854-1.1.mpd	technic
1020/854-1.mpd	technic
1028/4025-1.1.mpd	LDCad donor, LDCad primitive, technic
1028/4025-1.mpd	LDCad donor, LDCad primitive, technic
1031/6049-1.1.mpd	hose
1031/6049-1.mpd	hose
1032/6061-1.1.mpd	LDCad donor
1032/6061-1.mpd	LDCad donor
1034/6080-1.1.mpd	LDCad donor
1034/6080-1.mpd	LDCad donor
1038/42100-1.1.mpd	electric, technic
1038/42100-1.mpd	electric, technic
1039/42110-1.1.mpd	LDCad donor, LDCad primitive, technic
1039/42110-1.mpd	LDCad donor, LDCad primitive, technic
106/42050-1.1.mpd	technic
106/42050-1.2.mpd	technic
106/42050-1.mpd	technic
107/42052-1.1.mpd	electric, technic, Technic
107/42052-1.2.mpd	electric, technic, Technic
107/42052-1.mpd	electric, technic, Technic
1080/7733-1.1.mpd	Vehicle
1080/7733-1.2.mpd	Vehicle
1080/7733-1.mpd	Vehicle
1094/76139-1.1.mpd	Minifig Accessory
1094/76139-1.2.mpd	Minifig Accessory
1094/76139-1.mpd	Minifig Accessory
1095/42101-1.1.mpd	LDCad donor, LDCad primitive, Technic
