alias	keywords
1/42044-1.1.mpd	flexible
1/42044-1.2.mpd	flexible
1/42044-1.mpd	flexible
10/7325-1.1.mpd	Pharaoh's Quest, Cobra Hood, Set 7325
10/7325-1.2.mpd	Pharaoh's Quest, Cobra Hood, Set 7325
10/7325-1.mpd	Pharaoh's Quest, Cobra Hood, Set 7325
100/894-1.1.mpd	car, moon, astronaut, 1979, moon, astronaut, 1979
100/894-1.1.mpd:0 !HISTORY 2012-03-01 [Holly-Wood] Creation0 !KEYWORDS car, moon, astronaut, 1979	
100/894-1.2.mpd	car, moon, astronaut, 1979, moon, astronaut, 1979
100/894-1.2.mpd:0 !HISTORY 2012-03-01 [Holly-Wood] Creation0 !KEYWORDS car, moon, astronaut, 1979	
100/894-1.mpd	car, moon, astronaut, 1979, moon, astronaut, 1979
100/894-1.mpd:0 !HISTORY 2012-03-01 [Holly-Wood] Creation0 !KEYWORDS car, moon, astronaut, 1979	
1000/75060-1.1.mpd	Boba Fett
1000/75060-1.2.mpd	Boba Fett
1000/75060-1.mpd	Boba Fett
1001/10264-1.1.mpd	Bricklink 3960pb043, Set 10264, flexible, chain, Kitchen, Cookware, Meal
1001/10264-1.2.mpd	Bricklink 3960pb043, Set 10264, flexible, chain, Kitchen, Cookware, Meal
1001/10264-1.mpd	Bricklink 3960pb043, Set 10264, flexible, chain, Kitchen, Cookware, Meal
1002/10246-1.1.mpd	font Hand Shop Typography C30 and C32, hero factory, legends of chima, nexo knights, bionicle, super heroes, fist, buildable figures, set 10246, detective's, office, set 10255, set 10246, set 71004, set 10246, set 10684, set 21310, set 40125, 76052, set 76127, set 77902
1002/10246-1.2.mpd	font Hand Shop Typography C30 and C32, hero factory, legends of chima, nexo knights, bionicle, super heroes, fist, buildable figures, set 10246, detective's, office, set 10255, set 10246, set 71004, set 10246, set 10684, set 21310, set 40125, 76052, set 76127, set 77902
1002/10246-1.mpd	font Hand Shop Typography C30 and C32, hero factory, legends of chima, nexo knights, bionicle, super heroes, fist, buildable figures, set 10246, detective's, office, set 10255, set 10246, set 71004, set 10246, set 10684, set 21310, set 40125, 76052, set 76127, set 77902
1003/42099-1.1.mpd	Beam, Biscuit, Cookie, Spike Prime, CV, CV, Spindle, Hub, Wheel, Driver, flexible, flexible, power functions 2, Lpf2, Spike Prime, Spike Prime, Power Functions 2.0, Bush
1003/42099-1.2.mpd	Beam, Biscuit, Cookie, Spike Prime, CV, CV, Spindle, Hub, Wheel, Driver, flexible, flexible, power functions 2, Lpf2, Spike Prime, Spike Prime, Power Functions 2.0, Bush
1003/42099-1.mpd	Beam, Biscuit, Cookie, Spike Prime, CV, CV, Spindle, Hub, Wheel, Driver, flexible, flexible, power functions 2, Lpf2, Spike Prime, Spike Prime, Power Functions 2.0, Bush
1005/6980-1.1.mpd	flexible, pneumatic
1005/6980-1.2.mpd	flexible, pneumatic
1005/6980-1.mpd	flexible, pneumatic
101/897-1.1.mpd	moon, astronaut, 1979
101/897-1.2.mpd	moon, astronaut, 1979
101/897-1.mpd	moon, astronaut, 1979
1018/31313-1_Spike3r.1.mpd	flexible, mindstorms, ev3, cable
1018/31313-1_Spike3r.2.mpd	flexible, mindstorms, ev3, cable
1018/31313-1_Spike3r.mpd	flexible, mindstorms, ev3, cable
1018/31313-1_Track3r.1.mpd	flexible, mindstorms, ev3, cable
1018/31313-1_Track3r.2.mpd	flexible, mindstorms, ev3, cable
1018/31313-1_Track3r.mpd	flexible, mindstorms, ev3, cable
1019/8845-1.1.mpd	spring, shock
1019/8845-1.2.mpd	spring, shock
1019/8845-1.mpd	spring, shock
102/918-1.1.mpd	moon, astronaut, 1979
102/918-1.mpd	moon, astronaut, 1979
1020/854-1.1.mpd	flexible, pneumatic
1020/854-1.mpd	flexible, pneumatic
1028/4025-1.1.mpd	flexible, pneumatic, flexible, string, rope
1028/4025-1.mpd	flexible, pneumatic, flexible, string, rope
103/920-2.1.mpd	LSynth, moon, astronaut, 1979
103/920-2.mpd	LSynth, moon, astronaut, 1979
1031/6049-1.1.mpd	flexible
1031/6049-1.mpd	flexible
1032/6061-1.1.mpd	flexible, string, rope
1032/6061-1.mpd	flexible, string, rope
1034/6080-1.1.mpd	flexible, string, rope
1034/6080-1.mpd	flexible, string, rope
1037/42088-1.1.mpd	Truck, Microscale, Construction
1037/42088-1.mpd	Truck, Microscale, Construction
1037/42088-1_Tow-Truck.1.mpd	Truck, Microscale, Construction
1037/42088-1_Tow-Truck.mpd	Truck, Microscale, Construction
1038/42100-1.1.mpd	Beam, Biscuit, Cookie, Spike Prime, flexible, chain, flexible, pneumatic, flexible, power functions 2, Frame, Spike Prime, Liebherr R 9800, Set 42100, Digger, Lpf2, Spike Prime, Spike Prime, Power Functions 2.0, Bush, Torque limiter, Torque Limiter
1038/42100-1.mpd	Beam, Biscuit, Cookie, Spike Prime, flexible, chain, flexible, pneumatic, flexible, power functions 2, Frame, Spike Prime, Liebherr R 9800, Set 42100, Digger, Lpf2, Spike Prime, Spike Prime, Power Functions 2.0, Bush, Torque limiter, Torque Limiter
1039/42110-1.1.mpd	Beam, Biscuit, Cookie, Spike Prime, flexible, flexible, band, flexible, string, rope, Frame, Spike Prime, Set 42056, Porsche 911 GT3 RS, Set 42110, Land Rover Defender, Technic, town, outdoor, umbrella table, Unimog, Set 8110
1039/42110-1.mpd	Beam, Biscuit, Cookie, Spike Prime, flexible, flexible, band, flexible, string, rope, Frame, Spike Prime, Set 42056, Porsche 911 GT3 RS, Set 42110, Land Rover Defender, Technic, town, outdoor, umbrella table, Unimog, Set 8110
104/924-1.1.mpd	moon, astronaut, 1979
104/924-1.mpd	moon, astronaut, 1979
105/42049-1.1.mpd	Barrel, Container
105/42049-1.2.mpd	Barrel, Container
105/42049-1.mpd	Barrel, Container
106/42050-1.1.mpd	flexible, flexible, chain
106/42050-1.2.mpd	flexible, flexible, chain
106/42050-1.mpd	flexible, flexible, chain
1067/7246-1.1.mpd	Bricklink 973pb0010
1067/7246-1.2.mpd	Bricklink 973pb0010
1067/7246-1.mpd	Bricklink 973pb0010
107/42052-1.1.mpd	flexible, flexible, power functions
107/42052-1.2.mpd	flexible, flexible, power functions
107/42052-1.mpd	flexible, flexible, power functions
108/7101-1.1.mpd	Episode I, Qui-Gon Jinn, Darth Maul
108/7101-1.2.mpd	Episode I, Qui-Gon Jinn, Darth Maul
108/7101-1.mpd	Episode I, Qui-Gon Jinn, Darth Maul
1086/31072-1.1.mpd	Car, Vehicles, Racing
1086/31072-1.2.mpd	Car, Vehicles, Racing
1086/31072-1.mpd	Car, Vehicles, Racing
1086/31072-1_Hot-Rod.1.mpd	Car, Vehicles, Racing
1086/31072-1_Hot-Rod.2.mpd	Car, Vehicles, Racing
1086/31072-1_Hot-Rod.mpd	Car, Vehicles, Racing
1086/31072-1_Speedboat.1.mpd	Vehicles, Boat, Racing, Speedboat
1086/31072-1_Speedboat.2.mpd	Vehicles, Boat, Racing, Speedboat
1086/31072-1_Speedboat.mpd	Vehicles, Boat, Racing, Speedboat
1087/40190-1.1.mpd	set 40190
