alias	num_parts	difficulty
8303-1.mpd	51	simple
7911-1.mpd	34	simple
316-1.mpd	146	medium
6741-1_Shuttle.mpd	57	simple
6682-1.mpd	97	medium
854-1.mpd	329	medium
3223-1_Scorpion.mpd	30	simple
6506-1.mpd	40	simple
40348-1.mpd	156	medium
40290-1_Black-Seas-Barracuda.mpd	114	medium
1211-2.mpd	126	medium
21008-1.mpd	128	medium
31028-1_Airboat.mpd	45	simple
8841-1.mpd	728	complex
8122-1.mpd	41	simple
3501-1_Model-5.mpd	26	simple
1499-1.mpd	95	medium
30034-1.mpd	36	simple
8002-1.mpd	3734	complex
3181-1.mpd	333	medium
7607-1.mpd	35	simple
75033-1.mpd	108	medium
5510-1.mpd	1699	complex
41498-1.mpd	396	medium
4491-1.mpd	79	medium
42102-1_Harvester.mpd	209	medium
6831-1.mpd	45	simple
41601-1.mpd	112	medium
8257-1.mpd	1263	complex
6666-1.mpd	93	medium
3061-1.mpd	270	medium
6954-1.mpd	426	complex
4005-1.mpd	350	medium
5571-1.mpd	1752	complex
10183-1_Small-steam-locomotive.mpd	152	medium
8283-1_Front-End-Loader.mpd	263	medium
722-1_Semi-Truck.mpd	192	medium
6623-1.mpd	46	simple
4096-1_Crane.mpd	61	simple
6607-1.mpd	30	simple
6642-1.mpd	73	medium
10183-1.mpd	524	complex
6056-1.mpd	127	medium
41092-1.mpd	238	medium
7815-1.mpd	233	medium
4555-1.mpd	396	medium
41618-1.mpd	201	medium
10002-1.mpd	347	medium
6373-1.mpd	319	medium
21013-1.mpd	298	medium
6850-1.mpd	62	simple
41625-1.mpd	182	medium
42046-1.mpd	171	medium
41500-1.mpd	108	medium
75870-1.mpd	644	complex
894-1.mpd	93	medium
1991-1.mpd	89	medium
30055-1.mpd	36	simple
8143-1.mpd	529	complex
6889-1.mpd	213	medium
30191-1.mpd	41	simple
950-1.mpd	216	medium
2531-1.mpd	111	medium
30311-1.mpd	58	simple
40194-1.mpd	59	simple
60066-1.mpd	103	medium
6357-1.mpd	198	medium
6397-1.mpd	829	complex
40351-1.mpd	127	medium
42062-1.mpd	837	complex
6522-1.mpd	33	simple
3795-1.mpd	88	medium
10297-1.mpd	3611	complex
603-1.mpd	29	simple
164-1_Excursion-Car.mpd	126	medium
31048-1_Small-Cabin.mpd	196	medium
31197-1_Version-D.mpd	2645	complex
40391-1.mpd	157	medium
6608-1.3.mpd	25	simple
4200-1.mpd	108	medium
40441-1.mpd	258	medium
7746-1.mpd	223	medium
8642-1_Combination-with-8641.mpd	72	medium
21037-1.mpd	793	complex
42123-1.mpd	3344	complex
6232-1.mpd	40	simple
31009-1.mpd	272	medium
928-1.mpd	379	medium
8156-1.mpd	613	complex
377-1.mpd	207	medium
6970-1.mpd	296	medium
40271-1.mpd	115	medium
10183-1_German-Standard-Electric-Locomotive-2.mpd	260	medium
41630-1.mpd	193	medium
8032-1_Bull.mpd	124	medium
8865-1.mpd	830	complex
41015-1.mpd	1139	complex
6043-1.mpd	180	medium
6890-1.mpd	127	medium
5982-1.mpd	178	medium
41585-1.mpd	153	medium
6402-1.mpd	63	simple
8820-1.mpd	202	medium
3221-1.mpd	293	medium
42107-1.mpd	783	complex
10143-1.mpd	1909	complex
8261-1_Semi-Tractor.mpd	197	medium
3625-1.mpd	130	medium
