alias	min_x	min_y	min_z	max_x	max_y	max_z	center_x	center_y	center_z	dim_x	dim_y	dim_z	diag	complete
003238a.dat	-20.0	-0.25	-32.37	20.0	0.0	14.0	0.0	-0.125	-9.184999	40.0	0.25	46.37	61.239197	true
003238b.dat	-20.0	-0.25	-32.37	20.0	0.0	14.0	0.0	-0.125	-9.184999	40.0	0.25	46.37	61.239197	true
003238c.dat	-20.0	-0.25	-32.37	20.0	0.0	14.0	0.0	-0.125	-9.184999	40.0	0.25	46.37	61.239197	true
003238d.dat	-20.0	-0.25	-32.37	20.0	0.0	14.0	0.0	-0.125	-9.184999	40.0	0.25	46.37	61.239197	true
003238e.dat	-13.0	-0.25	-18.0	13.0	0.0	17.0	0.0	-0.125	-0.5	26.0	0.25	35.0	43.601177	true
003238f.dat	-13.0	-0.25	-18.0	13.0	0.0	17.0	0.0	-0.125	-0.5	26.0	0.25	35.0	43.601177	true
003238g.dat	-13.0	-0.25	-18.0	13.0	0.0	17.0	0.0	-0.125	-0.5	26.0	0.25	35.0	43.601177	true
003238h.dat	-13.0	-0.25	-18.0	13.0	0.0	17.0	0.0	-0.125	-0.5	26.0	0.25	35.0	43.601177	true
003238i.dat	-30.0	-0.25	-24.0	30.0	0.0	24.0	0.0	-0.125	0.0	60.0	0.25	48.0	76.8379	true
003238j.dat	-58.0	-0.25	-10.0	58.0	0.0	10.0	0.0	-0.125	0.0	116.0	0.25	20.0	117.71178	true
003238k.dat	-20.0	-0.25	-32.37	20.0	0.0	14.0	0.0	-0.125	-9.184999	40.0	0.25	46.37	61.239197	true
003238l.dat	-20.0	-0.25	-32.37	20.0	0.0	14.0	0.0	-0.125	-9.184999	40.0	0.25	46.37	61.239197	true
003238m.dat	-20.0	-0.25	-32.37	20.0	0.0	14.0	0.0	-0.125	-9.184999	40.0	0.25	46.37	61.239197	true
003238n.dat	-13.0	-0.25	-18.0	13.0	0.0	17.0	0.0	-0.125	-0.5	26.0	0.25	35.0	43.601177	true
003238o.dat	-13.0	-0.25	-18.0	13.0	0.0	17.0	0.0	-0.125	-0.5	26.0	0.25	35.0	43.601177	true
003238p.dat	-13.0	-0.25	-18.0	13.0	0.0	17.0	0.0	-0.125	-0.5	26.0	0.25	35.0	43.601177	true
003238q.dat	-13.0	-0.25	-18.0	13.0	0.0	17.0	0.0	-0.125	-0.5	26.0	0.25	35.0	43.601177	true
003238r.dat	-30.0	-0.25	-24.0	30.0	0.0	24.0	0.0	-0.125	0.0	60.0	0.25	48.0	76.8379	true
003238s.dat	-58.0	-0.25	-10.0	58.0	0.0	10.0	0.0	-0.125	0.0	116.0	0.25	20.0	117.71178	true
003381a.dat	-59.0	-0.25	-11.0	59.0	0.0	11.0	0.0	-0.125	0.0	118.0	0.25	22.0	120.03359	true
003428a.dat	-59.0	-0.25	-11.0	59.0	0.0	11.0	0.0	-0.125	0.0	118.0	0.25	22.0	120.03359	true
003428b.dat	-18.0	-0.25	-15.0	18.0	0.0	15.0	0.0	-0.125	0.0	36.0	0.25	30.0	46.862164	true
003428c.dat	-18.0	-0.25	-15.0	18.0	0.0	15.0	0.0	-0.125	0.0	36.0	0.25	30.0	46.862164	true
003428d.dat	-20.0	-0.25	-14.0	20.0	0.0	14.0	0.0	-0.125	0.0	40.0	0.25	28.0	48.826862	true
003432a.dat	-30.0	-0.25	-24.0	30.0	0.0	24.0	0.0	-0.125	0.0	60.0	0.25	48.0	76.8379	true
003432b.dat	-30.0	-0.25	-24.0	30.0	0.0	24.0	0.0	-0.125	0.0	60.0	0.25	48.0	76.8379	true
003432c.dat	-30.0	-0.25	-24.0	30.0	0.0	24.0	0.0	-0.125	0.0	60.0	0.25	48.0	76.8379	true
003432d.dat	-30.0	-0.25	-24.0	30.0	0.0	24.0	0.0	-0.125	0.0	60.0	0.25	48.0	76.8379	true
003432e.dat	-30.0	-0.25	-24.0	30.0	0.0	24.0	0.0	-0.125	0.0	60.0	0.25	48.0	76.8379	true
003432f.dat	-30.0	-0.25	-24.0	30.0	0.0	24.0	0.0	-0.125	0.0	60.0	0.25	48.0	76.8379	true
003435c.dat	-6.0	-0.25	-6.0	6.0	0.0	6.0	0.0	-0.125	0.0	12.0	0.25	12.0	16.972404	true
003437a.dat	-24.9	-0.25	-22.8	24.9	0.0	23.6066	0.0	-0.125	0.4033003	49.8	0.25	46.4066	68.0711	true
003437b.dat	-55.0	-0.25	-26.0	55.0	0.0	26.0	0.0	-0.125	0.0	110.0	0.25	52.0	121.67194	true
003439a.dat	-27.5	-0.25	-16.4	27.5	0.0	16.4	0.0	-0.125	0.0	55.0	0.25	32.8	64.038284	true
003440a.dat	-55.0	-0.25	-26.0	55.0	0.0	26.0	0.0	-0.125	0.0	110.0	0.25	52.0	121.67194	true
003441a.dat	-21.0	-0.25	-22.0	21.0	0.0	22.0	0.0	-0.125	0.0	42.0	0.25	44.0	60.82814	true
003497a.dat	-59.0	-0.25	-23.0	59.0	0.0	23.0	0.0	-0.125	0.0	118.0	0.25	46.0	126.64937	true
003497b.dat	-60.0	-0.25	-29.500065	60.0	0.0	22.36	0.0	-0.125	-3.5700321	120.0	0.25	51.860065	130.72693	true
003497bc01.dat	-60.0	-0.22331238	-50.25	60.0	27.140064	-10.000612	0.0	13.458376	-30.125305	120.0	27.363377	40.24939	129.49428	true
003497c.dat	-39.0	-0.25	-11.0	39.0	0.0	11.0	0.0	-0.125	0.0	78.0	0.25	22.0	81.04359	true
003497d.dat	-24.824701	-0.25	-24.271378	24.824701	0.0	24.271378	0.0	-0.125	0.0	49.649403	0.25	48.542755	69.4372	true
003497e.dat	-19.0	-0.25	-19.0	19.0	0.0	19.0	0.0	-0.125	0.0	38.0	0.25	38.0	53.740696	true
003497f.dat	-29.0	-0.25	-11.0	29.0	0.0	11.0	0.0	-0.125	0.0	58.0	0.25	22.0	62.032753	true
003497g.dat	-18.0	-0.25	-15.0	18.0	0.0	15.0	0.0	-0.125	0.0	36.0	0.25	30.0	46.862164	true
003497h.dat	-18.0	-0.25	-15.0	18.0	0.0	15.0	0.0	-0.125	0.0	36.0	0.25	30.0	46.862164	true
